x            y            z            
-2.672008e+01 1.130910e+00 -2.287094e+00 
-2.672008e+01 2.130910e+00 -2.980957e+00 
-2.672008e+01 3.130910e+00 -2.985549e+00 
-2.672008e+01 4.130910e+00 -2.946166e+00 
-2.672008e+01 5.130910e+00 -2.846628e+00 
-2.672008e+01 6.130910e+00 -2.887756e+00 
-2.672008e+01 7.130910e+00 -3.000000e+00 
-2.672008e+01 8.130910e+00 -3.000000e+00 
-2.672008e+01 9.130910e+00 -2.977702e+00 
-2.672008e+01 1.013091e+01 -2.673890e+00 
-2.672008e+01 1.113091e+01 -2.983345e+00 
-2.672008e+01 1.213091e+01 -3.000000e+00 
-2.672008e+01 1.313091e+01 -2.441626e+00 
-2.672008e+01 1.413091e+01 -2.824481e+00 
-2.672008e+01 1.513091e+01 -2.839674e+00 
-2.672008e+01 1.613091e+01 -2.715687e+00 
-2.672008e+01 1.713091e+01 -2.883089e+00 
-2.672008e+01 1.813091e+01 -2.414732e+00 
-2.672008e+01 1.913091e+01 -3.000000e+00 
-2.672008e+01 2.013091e+01 -2.519617e+00 
-2.672008e+01 2.113091e+01 -2.474758e+00 
-2.672008e+01 2.213091e+01 -2.509569e+00 
-2.572008e+01 -2.386909e+01 -3.000000e+00 
-2.572008e+01 -2.286909e+01 -3.000000e+00 
-2.572008e+01 -2.186909e+01 -3.000000e+00 
-2.572008e+01 -2.086909e+01 -3.000000e+00 
-2.572008e+01 -1.986909e+01 -3.000000e+00 
-2.572008e+01 -1.886909e+01 -3.000000e+00 
-2.572008e+01 -1.786909e+01 -2.882156e+00 
-2.572008e+01 -1.686909e+01 -2.720824e+00 
-2.572008e+01 -1.586909e+01 -2.310122e+00 
-2.572008e+01 -1.486909e+01 -1.919506e+00 
-2.572008e+01 -1.386909e+01 -9.325509e-01 
-2.572008e+01 -1.286909e+01 -3.093062e-01 
-2.572008e+01 -1.186909e+01 3.304585e-02 
-2.572008e+01 -1.086909e+01 5.351826e-01 
-2.572008e+01 -9.869090e+00 5.274869e-01 
-2.572008e+01 -8.869090e+00 4.095047e-01 
-2.572008e+01 -7.869090e+00 2.014582e-01 
-2.572008e+01 -6.869090e+00 4.473371e-02 
-2.572008e+01 -5.869090e+00 -1.417698e-01 
-2.572008e+01 -4.869090e+00 -4.542697e-01 
-2.572008e+01 -3.869090e+00 -8.169824e-01 
-2.572008e+01 -2.869090e+00 -1.466198e+00 
-2.572008e+01 -1.869090e+00 -1.545735e+00 
-2.572008e+01 -8.690896e-01 -1.970122e+00 
-2.572008e+01 1.309104e-01 -2.197779e+00 
-2.572008e+01 1.130910e+00 -1.926350e+00 
-2.572008e+01 2.130910e+00 -2.604069e+00 
-2.572008e+01 3.130910e+00 -2.817247e+00 
-2.572008e+01 4.130910e+00 -2.843400e+00 
-2.572008e+01 5.130910e+00 -2.804792e+00 
-2.572008e+01 6.130910e+00 -2.898721e+00 
-2.572008e+01 7.130910e+00 -2.863965e+00 
-2.572008e+01 8.130910e+00 -2.911125e+00 
-2.572008e+01 9.130910e+00 -2.779633e+00 
-2.572008e+01 1.013091e+01 -2.726361e+00 
-2.572008e+01 1.113091e+01 -2.803679e+00 
-2.572008e+01 1.213091e+01 -2.964514e+00 
-2.572008e+01 1.313091e+01 -2.925589e+00 
-2.572008e+01 1.413091e+01 -2.882433e+00 
-2.572008e+01 1.513091e+01 -2.923268e+00 
-2.572008e+01 1.613091e+01 -2.563528e+00 
-2.572008e+01 1.713091e+01 -2.454980e+00 
-2.572008e+01 1.813091e+01 -2.120301e+00 
-2.572008e+01 1.913091e+01 -2.132443e+00 
-2.572008e+01 2.013091e+01 -2.281911e+00 
-2.572008e+01 2.113091e+01 -2.336774e+00 
-2.572008e+01 2.213091e+01 -2.522905e+00 
-2.472008e+01 -2.386909e+01 -3.000000e+00 
-2.472008e+01 -2.286909e+01 -3.000000e+00 
-2.472008e+01 -2.186909e+01 -3.000000e+00 
-2.472008e+01 -2.086909e+01 -3.000000e+00 
-2.472008e+01 -1.986909e+01 -3.000000e+00 
-2.472008e+01 -1.886909e+01 -3.000000e+00 
-2.472008e+01 -1.786909e+01 -2.966224e+00 
-2.472008e+01 -1.686909e+01 -2.346830e+00 
-2.472008e+01 -1.586909e+01 -2.930756e+00 
-2.472008e+01 -1.486909e+01 -1.595296e+00 
-2.472008e+01 -1.386909e+01 -1.036906e+00 
-2.472008e+01 -1.286909e+01 3.305125e-02 
-2.472008e+01 -1.186909e+01 3.049662e-01 
-2.472008e+01 -1.086909e+01 5.980492e-01 
-2.472008e+01 -9.869090e+00 6.600268e-01 
-2.472008e+01 -8.869090e+00 3.875193e-01 
-2.472008e+01 -7.869090e+00 2.892446e-01 
-2.472008e+01 -6.869090e+00 1.351000e-01 
-2.472008e+01 -5.869090e+00 -9.783317e-02 
-2.472008e+01 -4.869090e+00 -3.070429e-01 
-2.472008e+01 -3.869090e+00 -7.568302e-01 
-2.472008e+01 -2.869090e+00 -8.023982e-01 
-2.472008e+01 -1.869090e+00 -7.176023e-01 
-2.472008e+01 -8.690896e-01 -1.099361e+00 
-2.472008e+01 1.309104e-01 -9.741632e-01 
-2.472008e+01 1.130910e+00 -1.680134e+00 
-2.472008e+01 2.130910e+00 -1.843093e+00 
-2.472008e+01 3.130910e+00 -2.431427e+00 
-2.472008e+01 4.130910e+00 -2.538059e+00 
-2.472008e+01 5.130910e+00 -2.908405e+00 
-2.472008e+01 6.130910e+00 -2.419678e+00 
-2.472008e+01 7.130910e+00 -3.000000e+00 
-2.472008e+01 8.130910e+00 -2.646285e+00 
-2.472008e+01 9.130910e+00 -3.000000e+00 
-2.472008e+01 1.013091e+01 -2.768999e+00 
-2.472008e+01 1.113091e+01 -3.000000e+00 
-2.472008e+01 1.213091e+01 -2.831822e+00 
-2.472008e+01 1.313091e+01 -3.000000e+00 
-2.472008e+01 1.413091e+01 -2.988148e+00 
-2.472008e+01 1.513091e+01 -3.000000e+00 
-2.472008e+01 1.613091e+01 -2.503954e+00 
-2.472008e+01 1.713091e+01 -2.463165e+00 
-2.472008e+01 1.813091e+01 -2.381990e+00 
-2.472008e+01 1.913091e+01 -2.717098e+00 
-2.472008e+01 2.013091e+01 -2.300459e+00 
-2.472008e+01 2.113091e+01 -3.000000e+00 
-2.472008e+01 2.213091e+01 -2.798789e+00 
-2.372008e+01 -2.386909e+01 -3.000000e+00 
-2.372008e+01 -2.286909e+01 -3.000000e+00 
-2.372008e+01 -2.186909e+01 -3.000000e+00 
-2.372008e+01 -2.086909e+01 -3.000000e+00 
-2.372008e+01 -1.986909e+01 -3.000000e+00 
-2.372008e+01 -1.886909e+01 -3.000000e+00 
-2.372008e+01 -1.786909e+01 -2.820563e+00 
-2.372008e+01 -1.686909e+01 -2.345848e+00 
-2.372008e+01 -1.586909e+01 -2.446291e+00 
-2.372008e+01 -1.486909e+01 -1.719052e+00 
-2.372008e+01 -1.386909e+01 -2.956915e-01 
-2.372008e+01 -1.286909e+01 1.964558e-01 
-2.372008e+01 -1.186909e+01 6.749216e-01 
-2.372008e+01 -1.086909e+01 6.667386e-01 
-2.372008e+01 -9.869090e+00 6.507448e-01 
-2.372008e+01 -8.869090e+00 4.601132e-01 
-2.372008e+01 -7.869090e+00 5.423765e-01 
-2.372008e+01 -6.869090e+00 4.510960e-02 
-2.372008e+01 -5.869090e+00 1.024064e-01 
-2.372008e+01 -4.869090e+00 -2.278146e-01 
-2.372008e+01 -3.869090e+00 -3.811840e-01 
-2.372008e+01 -2.869090e+00 -6.472464e-01 
-2.372008e+01 -1.869090e+00 -5.194055e-01 
-2.372008e+01 -8.690896e-01 -8.674174e-01 
-2.372008e+01 1.309104e-01 -9.217820e-01 
-2.372008e+01 1.130910e+00 -1.189542e+00 
-2.372008e+01 2.130910e+00 -1.263196e+00 
-2.372008e+01 3.130910e+00 -1.792974e+00 
-2.372008e+01 4.130910e+00 -2.080177e+00 
-2.372008e+01 5.130910e+00 -2.474774e+00 
-2.372008e+01 6.130910e+00 -2.367360e+00 
-2.372008e+01 7.130910e+00 -2.912450e+00 
-2.372008e+01 8.130910e+00 -2.392820e+00 
-2.372008e+01 9.130910e+00 -2.854986e+00 
-2.372008e+01 1.013091e+01 -2.781509e+00 
-2.372008e+01 1.113091e+01 -2.769665e+00 
-2.372008e+01 1.213091e+01 -2.787512e+00 
-2.372008e+01 1.313091e+01 -3.000000e+00 
