A1a          A1b          A2a          A2b          
-6.764041e-05 -3.404236e-04 -1.190356e-03 -1.088762e-03 
2.825561e-03 -5.992476e-04 -1.484484e-03 -2.106879e-03 
NaN NaN NaN NaN 
1.264691e-03 7.655654e-04 -1.067276e-03 -2.572523e-03 
1.237656e-03 1.094621e-03 -1.955960e-03 -1.112921e-03 
-4.802843e-04 1.237254e-03 -1.029198e-03 -7.718777e-04 
2.716595e-04 8.369075e-04 3.099967e-04 5.756201e-04 
-2.037838e-03 2.486127e-03 3.661324e-04 -1.193358e-03 
NaN NaN NaN NaN 
2.284603e-04 -1.003672e-04 2.886109e-04 -2.707828e-05 
-3.032338e-04 -6.427923e-04 7.950720e-04 4.655586e-04 
3.828816e-04 8.878983e-04 -2.026650e-03 2.855147e-05 
-9.983660e-05 5.828399e-04 -1.669456e-03 1.751169e-04 
-8.062807e-04 4.518549e-05 -3.166937e-04 5.386614e-04 
NaN NaN NaN NaN 
-4.745735e-04 -3.183036e-04 -3.454256e-04 4.856606e-04 
-1.205970e-04 1.284382e-04 -7.541039e-04 5.161510e-04 
6.520265e-04 8.730309e-04 -6.137012e-04 2.233017e-04 
NaN NaN NaN NaN 
-6.864742e-04 3.505032e-04 -5.712594e-04 1.614099e-04 
7.825915e-04 7.041508e-04 -7.986016e-04 -7.509910e-04 
5.386266e-04 -3.310550e-04 -9.182172e-04 4.309691e-04 
1.551151e-03 4.506332e-04 -1.368498e-03 5.540668e-04 
1.601597e-04 -6.156800e-05 -3.413376e-04 -2.542255e-04 
-7.142703e-04 1.900028e-04 -4.063886e-04 3.336501e-04 
1.734364e-04 3.811820e-04 -4.978483e-04 -8.356934e-04 
NaN NaN NaN NaN 
-7.248863e-04 5.956948e-04 1.815376e-04 -4.539010e-04 
5.379754e-04 5.984537e-04 -4.310948e-04 -1.260544e-03 
NaN NaN NaN NaN 
NaN NaN NaN NaN 
1.886239e-03 2.091735e-04 -2.231624e-03 -2.693981e-03 
1.615641e-03 3.505471e-04 -5.191927e-04 -1.791392e-03 
1.880998e-03 1.362977e-03 -7.608952e-04 -7.537034e-04 
3.757393e-04 -1.241883e-03 -7.485095e-04 2.614588e-04 
NaN NaN NaN NaN 
NaN NaN NaN NaN 
-1.824988e-04 1.547159e-03 3.482914e-04 -4.255717e-05 
-7.066632e-04 1.315426e-05 -1.038984e-03 -7.540360e-04 
-3.186864e-04 -1.560871e-04 -6.166898e-04 -5.798711e-04 
7.732964e-04 -2.075837e-04 -2.087593e-03 6.633677e-04 
-2.961823e-04 -7.689758e-04 -1.005672e-03 -1.172655e-04 
-1.435419e-04 -1.596220e-03 -3.347603e-04 1.642950e-03 
7.646860e-04 -7.253445e-04 -7.290990e-04 1.156874e-03 
5.043640e-06 1.068907e-03 7.738462e-04 1.079043e-03 
-3.315532e-04 8.133897e-04 1.928345e-04 -4.436063e-04 
-2.163869e-04 1.190490e-04 3.709394e-04 -2.677059e-04 
3.405036e-04 1.579885e-04 -8.409321e-05 -1.525849e-03 
1.587902e-03 7.042478e-04 -6.688920e-04 2.740595e-04 
-9.231500e-04 -1.016328e-03 1.105912e-03 1.262267e-04 
NaN NaN NaN NaN 
-8.719762e-04 1.124793e-04 -1.512708e-04 6.775868e-04 
1.907481e-03 5.618651e-04 -1.224529e-03 -1.118655e-03 
7.393053e-04 4.477755e-04 -1.545354e-03 8.571491e-04 
1.303791e-03 1.105889e-03 -1.132384e-03 -1.108826e-03 
NaN NaN NaN NaN 
NaN NaN NaN NaN 
NaN NaN NaN NaN 
-1.140613e-03 -1.167331e-03 -2.621764e-03 2.504306e-03 
2.218920e-04 1.100404e-03 -7.695229e-04 -4.247686e-04 
NaN NaN NaN NaN 
