x0           y0           sigmax       sigmay       theta        rel_amp      sigma_rat    x0_sd        y0_sd        sigmax_sd    sigmay_sd    theta_sd     rel_amp_sd   sigma_rat_sd fwhm         
9.903838e+00 3.817674e+00 7.793317e-01 5.480316e-01 7.004167e+01 9.855461e-01 1.415046e+00 5.230933e-03 6.747992e-03 6.414990e-03 7.879624e-03 1.172412e+00 1.444386e-02 1.730100e-02 1.307055e+00 
1.386027e+01 3.746008e+00 7.819608e-01 5.594239e-01 6.731941e+01 8.525349e-01 1.390870e+00 7.379077e-03 9.531219e-03 1.131976e-02 8.970294e-03 1.791851e+00 2.092283e-02 2.221054e-02 1.322796e+00 
3.982935e+00 1.919338e+00 8.007278e-01 5.447455e-01 7.173093e+01 9.994335e-01 1.458044e+00 4.844440e-03 6.600987e-03 5.909608e-03 7.705648e-03 1.021729e+00 1.391176e-02 1.640520e-02 1.320898e+00 
7.933779e+00 1.848946e+00 7.926642e-01 5.355991e-01 7.063421e+01 9.637593e-01 1.463391e+00 4.799113e-03 6.422081e-03 6.228662e-03 6.855647e-03 1.019937e+00 1.399131e-02 1.585983e-02 1.303150e+00 
1.187529e+01 1.811460e+00 7.822921e-01 5.429201e-01 6.876158e+01 9.225877e-01 1.433271e+00 5.498245e-03 7.170926e-03 7.947137e-03 6.917307e-03 1.179466e+00 1.501394e-02 1.718409e-02 1.303414e+00 
-1.975007e+00 2.346854e-02 8.650203e-01 5.440171e-01 6.858379e+01 9.577336e-01 1.563520e+00 4.884462e-03 6.736367e-03 5.750036e-03 8.059323e-03 7.929805e-01 1.380541e-02 1.708362e-02 1.371985e+00 
1.994204e+00 -4.969345e-02 8.299252e-01 5.422848e-01 7.045210e+01 9.715154e-01 1.513005e+00 4.994793e-03 6.747378e-03 6.757827e-03 6.954172e-03 9.230075e-01 1.441881e-02 1.639438e-02 1.341724e+00 
5.928815e+00 -3.788104e-02 7.946091e-01 5.463725e-01 6.931779e+01 9.580054e-01 1.444906e+00 4.925181e-03 6.446619e-03 6.283052e-03 7.119560e-03 1.034732e+00 1.412025e-02 1.617545e-02 1.317805e+00 
9.911300e+00 -8.532150e-02 7.676961e-01 5.546205e-01 7.150050e+01 9.931252e-01 1.382212e+00 5.093188e-03 6.586242e-03 6.260157e-03 7.837223e-03 1.268835e+00 1.426269e-02 1.672947e-02 1.305036e+00 
1.386719e+01 -2.041608e-01 7.707070e-01 5.662622e-01 6.344474e+01 9.068313e-01 1.360233e+00 5.833266e-03 6.915528e-03 6.925430e-03 8.379532e-03 1.411488e+00 1.485045e-02 1.766870e-02 1.321245e+00 
3.972874e+00 -2.011637e+00 8.057126e-01 5.493419e-01 6.871738e+01 9.855707e-01 1.465336e+00 4.846236e-03 6.375387e-03 6.735984e-03 6.377583e-03 9.815280e-01 1.391165e-02 1.533967e-02 1.330581e+00 
1.187288e+01 -2.109693e+00 8.129642e-01 5.454879e-01 6.568534e+01 9.618582e-01 1.468235e+00 5.221240e-03 6.664541e-03 6.549039e-03 7.257836e-03 1.011160e+00 1.440257e-02 1.665085e-02 1.331859e+00 
-5.978056e+00 -3.852120e+00 8.073830e-01 5.010659e-01 6.935932e+01 1.137709e+00 1.609559e+00 4.569284e-03 6.492023e-03 5.226637e-03 8.053191e-03 7.915942e-01 1.415226e-02 1.774008e-02 1.272088e+00 
-1.984740e+00 -3.893339e+00 8.443272e-01 5.459794e-01 6.632645e+01 9.449927e-01 1.544873e+00 4.846613e-03 6.443982e-03 5.870822e-03 7.250900e-03 8.430025e-01 1.366660e-02 1.590693e-02 1.357918e+00 
1.978348e+00 -3.945898e+00 8.116981e-01 5.430003e-01 6.763787e+01 9.987668e-01 1.483325e+00 4.766553e-03 6.203275e-03 6.196651e-03 6.564772e-03 9.271335e-01 1.391677e-02 1.527707e-02 1.327784e+00 
5.930194e+00 -3.967045e+00 8.106159e-01 5.305832e-01 6.582895e+01 1.010172e+00 1.525841e+00 4.898919e-03 6.370653e-03 5.972381e-03 7.016989e-03 8.944312e-01 1.389629e-02 1.606503e-02 1.311639e+00 
9.903046e+00 -4.038699e+00 7.728514e-01 5.602310e-01 6.398577e+01 9.624323e-01 1.378292e+00 5.376373e-03 6.509164e-03 7.500794e-03 6.623104e-03 1.269531e+00 1.450329e-02 1.592144e-02 1.316017e+00 
-3.974849e+00 -5.854576e+00 8.459687e-01 5.477073e-01 6.616660e+01 9.136059e-01 1.532866e+00 5.137377e-03 6.865034e-03 6.553922e-03 7.197209e-03 9.079916e-01 1.400476e-02 1.638464e-02 1.361386e+00 
