freq           unkown         trans
3.83000E+01    2.22339E-02    9.78011E-01
3.84000E+01    2.24466E-02    9.77803E-01
3.85000E+01    2.26644E-02    9.77591E-01
3.86000E+01    2.28874E-02    9.77373E-01
3.87000E+01    2.31143E-02    9.77151E-01
3.88000E+01    2.33457E-02    9.76925E-01
3.89000E+01    2.35807E-02    9.76695E-01
3.90000E+01    2.38200E-02    9.76461E-01
3.91000E+01    2.40760E-02    9.76211E-01
3.92000E+01    2.43140E-02    9.75979E-01
3.93000E+01    2.45647E-02    9.75735E-01
3.94000E+01    2.48406E-02    9.75465E-01
3.95000E+01    2.50889E-02    9.75223E-01
3.96000E+01    2.53355E-02    9.74983E-01
3.97000E+01    2.55983E-02    9.74727E-01
3.98000E+01    2.58672E-02    9.74465E-01
3.99000E+01    2.61408E-02    9.74198E-01
4.00000E+01    2.64201E-02    9.73926E-01
4.01000E+01    2.67049E-02    9.73649E-01
4.02000E+01    2.69923E-02    9.73369E-01
4.03000E+01    2.72846E-02    9.73084E-01
4.04000E+01    2.75830E-02    9.72794E-01
4.05000E+01    2.78856E-02    9.72500E-01
4.06000E+01    2.81943E-02    9.72199E-01
4.07000E+01    2.85078E-02    9.71895E-01
4.08000E+01    2.88265E-02    9.71585E-01
4.09000E+01    2.91502E-02    9.71271E-01
4.10000E+01    2.94802E-02    9.70950E-01
4.11000E+01    2.98151E-02    9.70625E-01
4.12000E+01    3.01567E-02    9.70293E-01
4.13000E+01    3.05037E-02    9.69957E-01
4.14000E+01    3.08567E-02    9.69615E-01
4.15000E+01    3.12167E-02    9.69266E-01
4.16000E+01    3.15828E-02    9.68911E-01
4.17000E+01    3.19552E-02    9.68550E-01
4.18000E+01    3.23350E-02    9.68182E-01
4.19000E+01    3.27246E-02    9.67805E-01
4.20000E+01    3.31159E-02    9.67426E-01
4.21000E+01    3.35163E-02    9.67039E-01
4.22000E+01    3.39258E-02    9.66643E-01
4.23000E+01    3.43433E-02    9.66240E-01
4.24000E+01    3.47719E-02    9.65826E-01
4.25000E+01    3.52069E-02    9.65406E-01
4.26000E+01    3.56582E-02    9.64970E-01
4.27000E+01    3.61391E-02    9.64506E-01
4.28000E+01    3.67660E-02    9.63902E-01
4.29000E+01    3.71310E-02    9.63550E-01
4.30000E+01    3.75241E-02    9.63171E-01
4.31000E+01    3.79889E-02    9.62724E-01
4.32000E+01    3.84836E-02    9.62247E-01
4.33000E+01    3.89827E-02    9.61767E-01
4.34000E+01    3.95097E-02    9.61261E-01
4.35000E+01    4.00766E-02    9.60716E-01
4.36000E+01    4.08004E-02    9.60021E-01
4.37000E+01    4.13812E-02    9.59463E-01
4.38000E+01    4.17352E-02    9.59124E-01
4.39000E+01    4.22574E-02    9.58623E-01
4.40000E+01    4.27976E-02    9.58105E-01
4.41000E+01    4.33757E-02    9.57552E-01
4.42000E+01    4.39736E-02    9.56979E-01
4.43000E+01    4.45867E-02    9.56393E-01
4.44000E+01    4.52165E-02    9.55791E-01
4.45000E+01    4.58610E-02    9.55175E-01
4.46000E+01    4.65261E-02    9.54540E-01
4.47000E+01    4.72114E-02    9.53886E-01
4.48000E+01    4.79348E-02    9.53196E-01
4.49000E+01    4.87089E-02    9.52458E-01
4.50000E+01    4.93247E-02    9.51872E-01
4.51000E+01    5.00412E-02    9.51190E-01
4.52000E+01    5.07877E-02    9.50480E-01
4.53000E+01    5.15555E-02    9.49751E-01
4.54000E+01    5.23419E-02    9.49004E-01
4.55000E+01    5.31481E-02    9.48240E-01
4.56000E+01    5.39747E-02    9.47456E-01
4.57000E+01    5.48215E-02    9.46654E-01
4.58000E+01    5.56895E-02    9.45833E-01
4.59000E+01    5.65787E-02    9.44992E-01
4.60000E+01    5.74902E-02    9.44131E-01
4.61000E+01    5.84258E-02    9.43248E-01
4.62000E+01    5.93827E-02    9.42346E-01
4.63000E+01    6.03661E-02    9.41420E-01
4.64000E+01    6.13747E-02    9.40471E-01
4.65000E+01    6.24093E-02    9.39498E-01
4.66000E+01    6.34721E-02    9.38500E-01
4.67000E+01    6.45660E-02    9.37474E-01
4.68000E+01    6.56843E-02    9.36426E-01
4.69000E+01    6.68357E-02    9.35349E-01
4.70000E+01    6.80194E-02    9.34242E-01
4.71000E+01    6.92369E-02    9.33106E-01
4.72000E+01    7.04882E-02    9.31939E-01
4.73000E+01    7.17749E-02    9.30740E-01
4.74000E+01    7.31000E-02    9.29508E-01
4.75000E+01    7.44638E-02    9.28241E-01
4.76000E+01    7.58676E-02    9.26939E-01
4.77000E+01    7.73146E-02    9.25599E-01
4.78000E+01    7.88057E-02    9.24219E-01
4.79000E+01    8.03428E-02    9.22800E-01
4.80000E+01    8.19279E-02    9.21338E-01
4.81000E+01    8.35643E-02    9.19832E-01
4.82000E+01    8.52526E-02    9.18280E-01
4.83000E+01    8.69972E-02    9.16680E-01
4.84000E+01    8.88000E-02    9.15029E-01
4.85000E+01    9.06639E-02    9.13325E-01
4.86000E+01    9.25899E-02    9.11567E-01
4.87000E+01    9.45847E-02    9.09751E-01
4.88000E+01    9.66520E-02    9.07872E-01
4.89000E+01    9.87913E-02    9.05932E-01
4.90000E+01    1.01010E-01    9.03924E-01
4.91000E+01    1.03313E-01    9.01844E-01
4.92000E+01    1.05708E-01    8.99688E-01
4.93000E+01    1.08194E-01    8.97453E-01
4.94000E+01    1.10781E-01    8.95135E-01
4.95000E+01    1.13469E-01    8.92732E-01
4.96000E+01    1.16277E-01    8.90229E-01
4.97000E+01    1.19218E-01    8.87614E-01
4.98000E+01    1.22291E-01    8.84891E-01
4.99000E+01    1.25528E-01    8.82031E-01
5.00000E+01    1.29025E-01    8.78952E-01
5.01000E+01    1.32524E-01    8.75882E-01
5.02000E+01    1.36227E-01    8.72645E-01
5.03000E+01    1.40207E-01    8.69178E-01
5.04000E+01    1.44456E-01    8.65493E-01
5.05000E+01    1.49009E-01    8.61562E-01
5.06000E+01    1.53613E-01    8.57604E-01
5.07000E+01    1.58608E-01    8.53331E-01
5.08000E+01    1.64016E-01    8.48728E-01
5.09000E+01    1.69921E-01    8.43732E-01
5.10000E+01    1.76902E-01    8.37862E-01
5.11000E+01    1.82736E-01    8.32988E-01
5.12000E+01    1.89700E-01    8.27207E-01
5.13000E+01    1.97515E-01    8.20768E-01
5.14000E+01    2.06327E-01    8.13567E-01
5.15000E+01    2.21904E-01    8.00992E-01
5.16000E+01    2.25623E-01    7.98019E-01
5.17000E+01    2.36040E-01    7.89749E-01
5.18000E+01    2.48168E-01    7.80229E-01
5.19000E+01    2.62556E-01    7.69083E-01
5.20000E+01    2.82954E-01    7.53555E-01
5.21000E+01    2.94512E-01    7.44895E-01
5.22000E+01    3.10317E-01    7.33215E-01
5.23000E+01    3.29961E-01    7.18952E-01
5.24000E+01    3.54326E-01    7.01646E-01
5.25000E+01    3.88177E-01    6.78292E-01
5.26000E+01    4.13710E-01    6.61193E-01
5.27000E+01    4.36485E-01    6.46304E-01
5.28000E+01    4.68610E-01    6.25872E-01
5.29000E+01    5.10677E-01    6.00089E-01
5.30000E+01    5.69675E-01    5.65709E-01
5.31000E+01    6.36786E-01    5.28990E-01
5.32000E+01    6.57680E-01    5.18052E-01
5.33000E+01    7.08030E-01    4.92614E-01
5.34000E+01    7.78833E-01    4.58941E-01
5.35000E+01    8.80295E-01    4.14661E-01
5.36000E+01    1.20689E+00    2.99126E-01
5.37000E+01    1.05284E+00    3.48946E-01
5.38000E+01    1.12092E+00    3.25981E-01
5.39000E+01    1.23216E+00    2.91660E-01
5.40000E+01    1.39822E+00    2.47037E-01
5.41000E+01    1.72700E+00    1.77818E-01
5.42000E+01    1.76389E+00    1.71377E-01
5.43000E+01    1.81949E+00    1.62109E-01
5.44000E+01    1.97129E+00    1.39277E-01
5.45000E+01    2.21719E+00    1.08915E-01
5.46000E+01    2.63479E+00    7.17337E-02
5.47000E+01    3.16090E+00    4.23876E-02
5.48000E+01    2.97631E+00    5.09808E-02
5.49000E+01    3.13151E+00    4.36516E-02
5.50000E+01    3.45183E+00    3.16877E-02
5.51000E+01    3.99505E+00    1.84066E-02
5.52000E+01    5.35329E+00    4.73255E-03
5.53000E+01    4.97647E+00    6.89840E-03
5.54000E+01    4.97141E+00    6.93334E-03
5.55000E+01    5.31161E+00    4.93396E-03
5.56000E+01    5.97188E+00    2.54946E-03
5.57000E+01    7.17256E+00    7.67353E-04
5.58000E+01    9.63456E+00    6.54279E-05
5.59000E+01    8.25146E+00    2.60877E-04
5.60000E+01    8.53667E+00    1.96143E-04
5.61000E+01    9.44557E+00    7.90390E-05
5.62000E+01    1.12943E+01    1.24440E-05
5.63000E+01    1.38663E+01    9.50496E-07
5.64000E+01    1.42963E+01    6.18305E-07
5.65000E+01    1.21333E+01    5.37747E-06
5.66000E+01    1.16343E+01    8.85707E-06
5.67000E+01    1.18853E+01    6.89096E-06
5.68000E+01    1.29243E+01    2.43806E-06
5.69000E+01    1.54453E+01    1.95968E-07
5.70000E+01    1.80643E+01    1.42811E-08
5.71000E+01    1.49793E+01    3.12292E-07
5.72000E+01    1.42943E+01    6.19513E-07
5.73000E+01    1.45123E+01    4.98163E-07
5.74000E+01    1.55853E+01    1.70361E-07
5.75000E+01    1.79404E+01    1.61660E-08
5.76000E+01    2.61574E+01    4.36518E-12
5.77000E+01    2.00454E+01    1.96972E-09
5.78000E+01    1.81574E+01    1.30121E-08
5.79000E+01    1.78154E+01    1.83173E-08
5.80000E+01    1.85005E+01    9.23282E-09
5.81000E+01    2.02761E+01    1.56390E-09
5.82000E+01    2.36745E+01    5.22747E-11
5.83000E+01    3.23305E+01    9.10025E-15
5.84000E+01    3.09436E+01    3.64204E-14
5.85000E+01    2.75365E+01    1.09917E-12
5.86000E+01    2.32244E+01    8.19884E-11
5.87000E+01    2.13834E+01    5.16763E-10
5.88000E+01    2.08294E+01    8.99269E-10
5.89000E+01    2.13675E+01    5.25090E-10
5.90000E+01    2.31965E+01    8.43152E-11
5.91000E+01    2.75945E+01    1.03725E-12
