freq         Pxx_raw      Pxx_cm       Pxx_nocm     Pxx_nocm_np  
3.890625e-01 8.968958e-09 7.882263e-09 2.432629e-09 2.421030e-09 
3.906250e-01 8.666472e-09 7.815079e-09 2.428850e-09 2.422905e-09 
3.921875e-01 9.269896e-09 8.002257e-09 2.423410e-09 2.405596e-09 
3.953125e-01 8.398296e-09 8.204280e-09 1.632010e-09 1.627256e-09 
3.968750e-01 8.555052e-09 8.718234e-09 2.216863e-09 2.224706e-09 
3.984375e-01 8.845228e-09 8.333402e-09 2.359114e-09 2.352581e-09 
4.000000e-01 8.152837e-09 8.231672e-09 2.380863e-09 2.386856e-09 
4.015625e-01 8.058578e-09 8.024724e-09 2.732299e-09 2.736968e-09 
4.046875e-01 8.762729e-09 7.884307e-09 2.431464e-09 2.418129e-09 
4.062500e-01 8.023919e-09 8.328722e-09 2.712815e-09 2.726486e-09 
4.078125e-01 8.193767e-09 8.240901e-09 2.798970e-09 2.806410e-09 
4.093750e-01 9.465435e-09 9.404260e-09 2.703489e-09 2.710087e-09 
4.109375e-01 9.767497e-09 9.131326e-09 2.609228e-09 2.603180e-09 
4.140625e-01 1.096659e-08 9.136429e-09 2.822537e-09 2.794201e-09 
4.156250e-01 1.066895e-08 9.163470e-09 2.743314e-09 2.722334e-09 
4.171875e-01 1.046048e-08 8.530386e-09 2.563799e-09 2.531348e-09 
4.187500e-01 9.581717e-09 8.067577e-09 2.260090e-09 2.231751e-09 
4.203125e-01 8.004826e-09 7.132666e-09 2.197097e-09 2.184213e-09 
4.234375e-01 6.789974e-09 6.735559e-09 1.851618e-09 1.856019e-09 
4.250000e-01 7.267495e-09 6.708805e-09 1.676784e-09 1.667662e-09 
4.265625e-01 6.807015e-09 6.320658e-09 1.827188e-09 1.823202e-09 
4.281250e-01 7.784015e-09 7.206558e-09 1.928769e-09 1.923700e-09 
4.312500e-01 7.196140e-09 7.242566e-09 1.715614e-09 1.721859e-09 
4.328125e-01 7.814233e-09 7.539625e-09 1.829463e-09 1.826653e-09 
4.343750e-01 7.334476e-09 7.268896e-09 1.792795e-09 1.794961e-09 
4.375000e-01 7.782428e-09 7.326204e-09 2.066393e-09 2.058372e-09 
4.390625e-01 7.978984e-09 7.687441e-09 2.035455e-09 2.031364e-09 
4.406250e-01 8.680642e-09 7.529421e-09 2.361187e-09 2.343437e-09 
4.421875e-01 9.394097e-09 8.170810e-09 2.350469e-09 2.331435e-09 
4.453125e-01 8.897160e-09 8.050260e-09 2.323604e-09 2.317141e-09 
4.468750e-01 9.030321e-09 7.547615e-09 2.502043e-09 2.482681e-09 
4.484375e-01 8.462928e-09 7.173347e-09 2.104802e-09 2.086093e-09 
4.515625e-01 7.161532e-09 6.955701e-09 2.200847e-09 2.205173e-09 
4.531250e-01 5.944330e-09 6.389999e-09 1.979539e-09 1.995444e-09 
4.546875e-01 7.882652e-09 7.547012e-09 2.118002e-09 2.118971e-09 
4.578125e-01 6.178462e-09 7.224258e-09 2.483798e-09 2.512842e-09 
4.593750e-01 7.339522e-09 7.108074e-09 2.268467e-09 2.274426e-09 
4.609375e-01 7.180883e-09 7.072800e-09 2.203958e-09 2.213282e-09 
4.640625e-01 7.628952e-09 7.053766e-09 3.055774e-09 3.058783e-09 
4.656250e-01 7.236587e-09 6.038712e-09 3.006900e-09 3.004686e-09 
4.671875e-01 7.683075e-09 6.445592e-09 3.237769e-09 3.232063e-09 
4.703125e-01 7.140130e-09 5.750084e-09 3.177281e-09 3.172353e-09 
4.718750e-01 8.084046e-09 5.788508e-09 3.202782e-09 3.183621e-09 
4.750000e-01 6.800188e-09 6.260984e-09 2.898300e-09 2.903582e-09 
4.765625e-01 6.615291e-09 6.237285e-09 2.865478e-09 2.872869e-09 
4.781250e-01 6.488147e-09 6.438422e-09 2.517122e-09 2.525461e-09 
4.812500e-01 5.556738e-09 6.577676e-09 2.232788e-09 2.259653e-09 
4.828125e-01 6.390465e-09 6.196721e-09 2.487548e-09 2.496790e-09 
4.859375e-01 8.418311e-09 6.144227e-09 2.716474e-09 2.691155e-09 
4.875000e-01 8.026422e-09 6.281218e-09 2.740220e-09 2.726389e-09 
4.906250e-01 7.293269e-09 5.749755e-09 2.806188e-09 2.796769e-09 
4.921875e-01 6.846668e-09 6.451316e-09 2.913896e-09 2.918646e-09 
4.937500e-01 5.970748e-09 6.340304e-09 2.898990e-09 2.913746e-09 
4.968750e-01 6.312959e-09 6.696447e-09 2.720426e-09 2.733614e-09 
4.984375e-01 6.596483e-09 6.382070e-09 2.468279e-09 2.469846e-09 
5.015625e-01 6.162905e-09 5.696912e-09 1.882596e-09 1.879213e-09 
5.031250e-01 6.024888e-09 5.675857e-09 1.856062e-09 1.853932e-09 
5.062500e-01 6.983618e-09 6.303687e-09 1.579371e-09 1.574868e-09 
5.078125e-01 7.288576e-09 6.422105e-09 1.523488e-09 1.514063e-09 
5.109375e-01 6.685896e-09 6.137030e-09 2.000012e-09 2.001262e-09 
5.125000e-01 6.344625e-09 5.971121e-09 2.047423e-09 2.051042e-09 
5.156250e-01 5.271313e-09 5.518797e-09 2.108321e-09 2.121023e-09 
5.171875e-01 5.321981e-09 5.516014e-09 2.117202e-09 2.128999e-09 
5.203125e-01 5.285067e-09 5.708646e-09 2.086132e-09 2.101155e-09 
5.218750e-01 6.103323e-09 4.683681e-09 1.860038e-09 1.841913e-09 
5.250000e-01 6.263906e-09 5.114212e-09 1.868783e-09 1.857605e-09 
5.281250e-01 6.381966e-09 5.593214e-09 1.757032e-09 1.747106e-09 
5.296875e-01 6.866978e-09 5.700664e-09 2.433480e-09 2.425781e-09 
5.328125e-01 6.281799e-09 5.703269e-09 2.245349e-09 2.246298e-09 
5.343750e-01 5.861106e-09 5.062662e-09 2.232081e-09 2.233005e-09 
