fs           Pxxs         Pxxnos       
1.742840e+02 2.817098e-19 2.393643e-19 
1.752377e+02 2.333450e-19 2.356913e-19 
1.759529e+02 2.223981e-19 1.594938e-19 
1.766682e+02 2.402281e-19 2.130890e-19 
1.776218e+02 1.777984e-19 2.117526e-19 
1.783371e+02 1.708909e-19 2.059266e-19 
1.792908e+02 2.060381e-19 2.011754e-19 
1.800060e+02 1.562590e-19 2.060773e-19 
1.809597e+02 1.894040e-19 2.192329e-19 
1.816750e+02 2.007817e-19 1.892567e-19 
1.826286e+02 1.620026e-19 2.189431e-19 
1.833439e+02 2.092409e-19 2.059705e-19 
1.842976e+02 2.054212e-19 1.952639e-19 
1.850128e+02 2.031734e-19 2.332164e-19 
1.859665e+02 1.720200e-19 1.748297e-19 
1.869202e+02 2.004048e-19 1.991312e-19 
1.876354e+02 2.381221e-19 1.758877e-19 
1.885891e+02 2.239690e-19 2.242506e-19 
1.893044e+02 2.689446e-19 2.477583e-19 
1.902580e+02 1.455343e-19 1.694821e-19 
1.912117e+02 1.607621e-19 1.642385e-19 
1.919270e+02 2.000401e-19 2.225030e-19 
1.928806e+02 2.268320e-19 1.845713e-19 
1.938343e+02 2.358336e-19 1.854508e-19 
1.947880e+02 1.856620e-19 1.728642e-19 
1.955032e+02 1.962582e-19 2.833242e-19 
1.964569e+02 1.485787e-19 2.368485e-19 
1.974106e+02 1.537453e-19 1.992505e-19 
1.983643e+02 1.330368e-19 2.011360e-19 
1.993179e+02 2.050811e-19 2.098314e-19 
2.002716e+02 1.671137e-19 1.548056e-19 
2.009869e+02 1.791435e-19 1.843231e-19 
2.019405e+02 1.726768e-19 1.852676e-19 
2.028942e+02 1.491581e-19 2.214433e-19 
2.038479e+02 2.013540e-19 2.358654e-19 
2.048016e+02 1.621442e-19 1.978832e-19 
2.057552e+02 2.146038e-19 1.663440e-19 
2.067089e+02 2.038361e-19 1.854816e-19 
2.076626e+02 1.813991e-19 1.540944e-19 
2.086163e+02 1.948032e-19 1.569802e-19 
2.095699e+02 1.987144e-19 1.789466e-19 
2.105236e+02 1.643713e-19 1.712102e-19 
2.114773e+02 1.777058e-19 1.743658e-19 
2.124310e+02 2.024858e-19 1.909245e-19 
2.133846e+02 1.449835e-19 1.726973e-19 
2.145767e+02 1.815362e-19 1.771971e-19 
2.155304e+02 1.881767e-19 2.446030e-19 
2.164841e+02 1.542466e-19 1.751352e-19 
2.174377e+02 1.848236e-19 1.880155e-19 
2.183914e+02 1.546536e-19 1.916974e-19 
2.193451e+02 1.842672e-19 1.654014e-19 
2.205372e+02 1.915122e-19 1.903057e-19 
2.214909e+02 2.098354e-19 2.102923e-19 
2.224445e+02 1.953099e-19 1.586423e-19 
2.236366e+02 1.719390e-19 1.664214e-19 
2.245903e+02 2.276162e-19 2.557608e-19 
2.255440e+02 1.475903e-19 1.966164e-19 
2.267361e+02 1.622757e-19 1.995475e-19 
2.276897e+02 1.433209e-19 2.116070e-19 
2.286434e+02 1.517364e-19 1.291483e-19 
2.298355e+02 1.956456e-19 1.763635e-19 
2.307892e+02 1.394293e-19 1.653528e-19 
2.319813e+02 1.816158e-19 1.587533e-19 
2.329350e+02 1.817529e-19 2.246466e-19 
2.341270e+02 1.970898e-19 1.266139e-19 
2.350807e+02 1.435940e-19 1.847384e-19 
2.362728e+02 1.563717e-19 1.792712e-19 
2.372265e+02 1.592843e-19 1.612708e-19 
2.384186e+02 1.823463e-19 1.512000e-19 
2.396107e+02 1.478729e-19 1.600216e-19 
2.405643e+02 2.011681e-19 1.651837e-19 
2.417564e+02 1.442491e-19 1.772677e-19 
2.429485e+02 1.976762e-19 1.615058e-19 
2.439022e+02 1.569602e-19 1.603590e-19 
2.450943e+02 1.087802e-19 1.479635e-19 
2.462864e+02 1.855805e-19 2.128749e-19 
2.474785e+02 1.548080e-19 1.373739e-19 
2.484322e+02 1.401383e-19 1.361640e-19 
2.496243e+02 1.418264e-19 1.922424e-19 
2.508163e+02 1.271905e-19 1.399160e-19 
2.520084e+02 1.677797e-19 1.620099e-19 
2.532005e+02 2.151835e-19 1.683246e-19 
