t            Tb_tes       
1.193600e+01 -7.994422e-02 
1.196800e+01 -8.245451e-02 
1.200000e+01 -8.087194e-02 
1.203200e+01 -8.103565e-02 
1.206400e+01 -8.087194e-02 
1.209600e+01 -7.890736e-02 
1.212800e+01 -7.863450e-02 
1.216000e+01 -7.552393e-02 
1.219200e+01 -7.454164e-02 
1.222400e+01 -8.289108e-02 
1.225600e+01 -7.388678e-02 
1.228800e+01 -7.792507e-02 
1.232000e+01 -8.092651e-02 
1.235200e+01 -8.523766e-02 
1.238400e+01 -7.617879e-02 
1.241600e+01 -7.765222e-02 
1.244800e+01 -7.334107e-02 
1.248000e+01 -8.223622e-02 
1.251200e+01 -7.901650e-02 
1.254400e+01 -7.797965e-02 
1.257600e+01 -7.530564e-02 
1.260800e+01 -7.514193e-02 
1.264000e+01 -7.563307e-02 
1.267200e+01 -7.508735e-02 
1.270400e+01 -7.028506e-02 
1.273600e+01 -8.338223e-02 
1.276800e+01 -7.175849e-02 
1.280000e+01 -7.421421e-02 
1.283200e+01 -7.699736e-02 
1.286400e+01 -8.747509e-02 
1.289600e+01 -7.274078e-02 
1.292800e+01 -7.901650e-02 
1.296000e+01 -7.617879e-02 
1.299200e+01 -7.066706e-02 
1.302400e+01 -7.361392e-02 
1.305600e+01 -8.016251e-02 
1.308800e+01 -7.405050e-02 
1.312000e+01 -7.448707e-02 
1.315200e+01 -7.694279e-02 
1.318400e+01 -7.596050e-02 
1.321600e+01 -7.672450e-02 
1.324800e+01 -6.968477e-02 
1.328000e+01 -9.003995e-02 
1.331200e+01 -7.661536e-02 
1.334400e+01 -8.583794e-02 
1.337600e+01 -7.328649e-02 
1.340800e+01 -7.666993e-02 
1.344000e+01 -7.104906e-02 
1.347200e+01 -7.072163e-02 
1.350400e+01 -7.323192e-02 
1.353600e+01 -7.934393e-02 
1.356800e+01 -7.263164e-02 
1.360000e+01 -6.990306e-02 
1.363200e+01 -6.924820e-02 
1.366400e+01 -6.542820e-02 
1.369600e+01 -7.366850e-02 
1.372800e+01 -7.470535e-02 
1.376000e+01 -7.437792e-02 
1.379200e+01 -7.001220e-02 
1.382400e+01 -7.274078e-02 
1.385600e+01 -7.104906e-02 
1.388800e+01 -6.859334e-02 
1.392000e+01 -6.788391e-02 
1.395200e+01 -7.770679e-02 
1.398400e+01 -7.290449e-02 
1.401600e+01 -8.125394e-02 
1.404800e+01 -7.454164e-02 
1.408000e+01 -6.520991e-02 
1.411200e+01 -7.656079e-02 
1.414400e+01 -7.192221e-02 
1.417600e+01 -6.411848e-02 
1.420800e+01 -7.241335e-02 
1.424000e+01 -6.892077e-02 
1.427200e+01 -7.394135e-02 
1.430400e+01 -6.351819e-02 
1.433600e+01 -6.913906e-02 
1.436800e+01 -6.701077e-02 
1.440000e+01 -6.941192e-02 
1.443200e+01 -6.761106e-02 
1.446400e+01 -7.443250e-02 
1.449600e+01 -6.624677e-02 
1.452800e+01 -6.613763e-02 
1.456000e+01 -7.257706e-02 
1.459200e+01 -7.104906e-02 
1.462400e+01 -7.590593e-02 
1.465600e+01 -7.001220e-02 
1.468800e+01 -6.591934e-02 
1.472000e+01 -7.257706e-02 
1.475200e+01 -7.443250e-02 
1.478400e+01 -7.115821e-02 
