theta        pow          
2.417882e+01 2.769219e-02 
2.423611e+01 2.735067e-02 
2.429341e+01 2.701578e-02 
2.435071e+01 2.668743e-02 
2.440800e+01 2.636551e-02 
2.446530e+01 2.604993e-02 
2.452259e+01 2.574059e-02 
2.457989e+01 2.543738e-02 
2.463719e+01 2.514022e-02 
2.469448e+01 2.484899e-02 
2.475178e+01 2.456362e-02 
2.480907e+01 2.428400e-02 
2.486637e+01 2.401003e-02 
2.492366e+01 2.374163e-02 
2.498096e+01 2.347870e-02 
2.503826e+01 2.322115e-02 
2.509555e+01 2.296888e-02 
2.515285e+01 2.272180e-02 
2.521014e+01 2.247983e-02 
2.526744e+01 2.224288e-02 
2.532473e+01 2.201085e-02 
2.538203e+01 2.178366e-02 
2.543933e+01 2.156122e-02 
2.549662e+01 2.134345e-02 
2.555392e+01 2.113026e-02 
2.561121e+01 2.092156e-02 
2.566851e+01 2.071727e-02 
2.572581e+01 2.051731e-02 
2.578310e+01 2.032159e-02 
2.584040e+01 2.013004e-02 
2.589769e+01 1.994257e-02 
2.595499e+01 1.975911e-02 
2.601228e+01 1.957956e-02 
2.606958e+01 1.940387e-02 
2.612688e+01 1.923194e-02 
2.618417e+01 1.906371e-02 
2.624147e+01 1.889909e-02 
2.629876e+01 1.873801e-02 
2.635606e+01 1.858040e-02 
2.641335e+01 1.842618e-02 
2.647065e+01 1.827529e-02 
2.652795e+01 1.812764e-02 
2.658524e+01 1.798318e-02 
2.664254e+01 1.784182e-02 
2.669983e+01 1.770350e-02 
2.675713e+01 1.756816e-02 
2.681442e+01 1.743572e-02 
2.687172e+01 1.730612e-02 
2.692902e+01 1.717929e-02 
2.698631e+01 1.705517e-02 
2.704361e+01 1.693369e-02 
2.710090e+01 1.681479e-02 
2.715820e+01 1.669841e-02 
2.721550e+01 1.658449e-02 
2.727279e+01 1.647296e-02 
2.733009e+01 1.636377e-02 
2.738738e+01 1.625686e-02 
2.744468e+01 1.615216e-02 
2.750197e+01 1.604963e-02 
2.755927e+01 1.594920e-02 
2.761657e+01 1.585082e-02 
2.767386e+01 1.575444e-02 
2.773116e+01 1.565999e-02 
