tp           bump         bump_conv    
9.100000e-01 1.016123e-01 5.887765e-01 
9.200000e-01 9.660527e-02 5.858843e-01 
9.300000e-01 9.179430e-02 5.829621e-01 
9.400000e-01 8.717475e-02 5.800123e-01 
9.500000e-01 8.274199e-02 5.770367e-01 
9.600000e-01 7.849126e-02 5.740375e-01 
9.700000e-01 7.441780e-02 5.710166e-01 
9.800000e-01 7.051679e-02 5.679759e-01 
9.900000e-01 6.678337e-02 5.649171e-01 
1.000000e+00 6.321270e-02 5.618421e-01 
1.010000e+00 5.979991e-02 5.587526e-01 
1.020000e+00 5.654014e-02 5.556502e-01 
1.030000e+00 5.342855e-02 5.525365e-01 
1.040000e+00 5.046032e-02 5.494130e-01 
1.050000e+00 4.763068e-02 5.462812e-01 
1.060000e+00 4.493490e-02 5.431425e-01 
1.070000e+00 4.236829e-02 5.399983e-01 
1.080000e+00 3.992622e-02 5.368498e-01 
1.090000e+00 3.760414e-02 5.336984e-01 
1.100000e+00 3.539756e-02 5.305451e-01 
1.110000e+00 3.330206e-02 5.273912e-01 
1.120000e+00 3.131331e-02 5.242378e-01 
1.130000e+00 2.942707e-02 5.210858e-01 
1.140000e+00 2.763919e-02 5.179362e-01 
1.150000e+00 2.594560e-02 5.147901e-01 
1.160000e+00 2.434234e-02 5.116483e-01 
1.170000e+00 2.282554e-02 5.085116e-01 
1.180000e+00 2.139144e-02 5.053810e-01 
1.190000e+00 2.003637e-02 5.022570e-01 
1.200000e+00 1.875678e-02 4.991405e-01 
1.210000e+00 1.754921e-02 4.960322e-01 
1.220000e+00 1.641033e-02 4.929326e-01 
1.230000e+00 1.533688e-02 4.898424e-01 
1.240000e+00 1.432573e-02 4.867623e-01 
1.250000e+00 1.337386e-02 4.836926e-01 
1.260000e+00 1.247835e-02 4.806340e-01 
1.270000e+00 1.163637e-02 4.775868e-01 
1.280000e+00 1.084521e-02 4.745516e-01 
1.290000e+00 1.010226e-02 4.715288e-01 
1.300000e+00 9.405012e-03 4.685187e-01 
1.310000e+00 8.751054e-03 4.655217e-01 
1.320000e+00 8.138072e-03 4.625382e-01 
1.330000e+00 7.563849e-03 4.595684e-01 
1.340000e+00 7.026262e-03 4.566126e-01 
1.350000e+00 6.523279e-03 4.536711e-01 
1.360000e+00 6.052959e-03 4.507442e-01 
1.370000e+00 5.613448e-03 4.478320e-01 
1.380000e+00 5.202976e-03 4.449348e-01 
1.390000e+00 4.819856e-03 4.420527e-01 
1.400000e+00 4.462483e-03 4.391859e-01 
1.410000e+00 4.129326e-03 4.363346e-01 
1.420000e+00 3.818932e-03 4.334988e-01 
1.430000e+00 3.529920e-03 4.306788e-01 
1.440000e+00 3.260978e-03 4.278745e-01 
1.450000e+00 3.010864e-03 4.250862e-01 
1.460000e+00 2.778399e-03 4.223138e-01 
1.470000e+00 2.562466e-03 4.195575e-01 
1.480000e+00 2.362011e-03 4.168172e-01 
1.490000e+00 2.176034e-03 4.140931e-01 
1.500000e+00 2.003594e-03 4.113851e-01 
1.510000e+00 1.843801e-03 4.086934e-01 
1.520000e+00 1.695815e-03 4.060178e-01 
1.530000e+00 1.558845e-03 4.033584e-01 
1.540000e+00 1.432147e-03 4.007153e-01 
1.550000e+00 1.315020e-03 3.980884e-01 
1.560000e+00 1.206806e-03 3.954776e-01 
1.570000e+00 1.106885e-03 3.928830e-01 
1.580000e+00 1.014677e-03 3.903046e-01 
1.590000e+00 9.296372e-04 3.877423e-01 
1.600000e+00 8.512540e-04 3.851960e-01 
1.610000e+00 7.790494e-04 3.826658e-01 
1.620000e+00 7.125756e-04 3.801515e-01 
1.630000e+00 6.514140e-04 3.776532e-01 
1.640000e+00 5.951733e-04 3.751708e-01 
1.650000e+00 5.434879e-04 3.727042e-01 
1.660000e+00 4.960169e-04 3.702533e-01 
1.670000e+00 4.524424e-04 3.678181e-01 
1.680000e+00 4.124680e-04 3.653986e-01 
1.690000e+00 3.758178e-04 3.629947e-01 
1.700000e+00 3.422351e-04 3.606062e-01 
1.710000e+00 3.114813e-04 3.582331e-01 
1.720000e+00 2.833346e-04 3.558754e-01 
1.730000e+00 2.575890e-04 3.535330e-01 
1.740000e+00 2.340536e-04 3.512057e-01 
1.750000e+00 2.125511e-04 3.488936e-01 
1.760000e+00 1.929175e-04 3.465965e-01 
1.770000e+00 1.750008e-04 3.443143e-01 
1.780000e+00 1.586604e-04 3.420470e-01 
1.790000e+00 1.437664e-04 3.397945e-01 
1.800000e+00 1.301985e-04 3.375567e-01 
1.810000e+00 1.178461e-04 3.353336e-01 
1.820000e+00 1.066067e-04 3.331249e-01 
1.830000e+00 9.638595e-05 3.309307e-01 
1.840000e+00 8.709701e-05 3.287509e-01 
1.850000e+00 7.865982e-05 3.265853e-01 
1.860000e+00 7.100072e-05 3.244339e-01 
1.870000e+00 6.405201e-05 3.222966e-01 
1.880000e+00 5.775146e-05 3.201734e-01 
1.890000e+00 5.204191e-05 3.180641e-01 
1.900000e+00 4.687095e-05 3.159686e-01 
1.910000e+00 4.219047e-05 3.138869e-01 
1.920000e+00 3.795642e-05 3.118188e-01 
1.930000e+00 3.412842e-05 3.097644e-01 
1.940000e+00 3.066954e-05 3.077234e-01 
1.950000e+00 2.754600e-05 3.056959e-01 
1.960000e+00 2.472692e-05 3.036817e-01 
1.970000e+00 2.218409e-05 3.016808e-01 
1.980000e+00 1.989177e-05 2.996930e-01 
1.990000e+00 1.782647e-05 2.977182e-01 
2.000000e+00 1.596678e-05 2.957565e-01 
2.010000e+00 1.429321e-05 2.938077e-01 
2.020000e+00 1.278798e-05 2.918717e-01 
2.030000e+00 1.143496e-05 2.899485e-01 
2.040000e+00 1.021945e-05 2.880379e-01 
2.050000e+00 9.128099e-06 2.861399e-01 
2.060000e+00 8.148795e-06 2.842544e-01 
2.070000e+00 7.270539e-06 2.823813e-01 
2.080000e+00 6.483358e-06 2.805205e-01 
2.090000e+00 5.778213e-06 2.786720e-01 
2.100000e+00 5.146918e-06 2.768357e-01 
2.110000e+00 4.582063e-06 2.750115e-01 
2.120000e+00 4.076948e-06 2.731992e-01 
2.130000e+00 3.625512e-06 2.713990e-01 
2.140000e+00 3.222283e-06 2.696105e-01 
2.150000e+00 2.862320e-06 2.678339e-01 
2.160000e+00 2.541165e-06 2.660690e-01 
2.170000e+00 2.254798e-06 2.643157e-01 
2.180000e+00 1.999598e-06 2.625739e-01 
2.190000e+00 1.772302e-06 2.608436e-01 
2.200000e+00 1.569976e-06 2.591247e-01 
2.210000e+00 1.389980e-06 2.574172e-01 
2.220000e+00 1.229941e-06 2.557209e-01 
2.230000e+00 1.087727e-06 2.540358e-01 
2.240000e+00 9.614262e-07 2.523617e-01 
2.250000e+00 8.493214e-07 2.506987e-01 
2.260000e+00 7.498741e-07 2.490467e-01 
2.270000e+00 6.617056e-07 2.474055e-01 
2.280000e+00 5.835813e-07 2.457752e-01 
2.290000e+00 5.143967e-07 2.441556e-01 
2.300000e+00 4.531637e-07 2.425467e-01 
2.310000e+00 3.989993e-07 2.409484e-01 
2.320000e+00 3.511150e-07 2.393606e-01 
